algorithm,error_type_I,error_type_II,missing_data_percentage,true_negatives,true_positives
K-Means,16.84,13.4,5,180.16,23.6
Fuzzy_C_Means,14.52,15.16,5,182.48,21.84
DBSCAN_Center,7.92,26.88,5,189.08,10.12
Affinity_Propagation,18.0,12.04,5,179.0,24.96
GMM,7.56,32.96,5,189.44,4.04
G_Means,15.92,12.48,5,181.08,24.52
K-Means,17.48,15.12,7,179.52,21.88
Fuzzy_C_Means,15.56,17.04,7,181.44,19.96
DBSCAN_Center,10.68,27.36,7,186.32,9.64
Affinity_Propagation,18.64,12.36,7,178.36,24.64
GMM,10.36,25.08,7,186.64,11.92
G_Means,13.0,19.92,7,184.0,17.08
K-Means,20.12,14.36,10,176.88,22.64
Fuzzy_C_Means,14.64,22.8,10,182.36,14.2
DBSCAN_Center,15.56,24.04,10,181.44,12.96
Affinity_Propagation,21.8,12.76,10,175.2,24.24
GMM,14.28,23.28,10,182.72,13.72
G_Means,14.4,22.4,10,182.6,14.6
K-Means,11.0,35.16,15,186.0,1.84
Fuzzy_C_Means,10.04,36.36,15,186.96,0.64
DBSCAN_Center,14.76,34.88,15,182.24,2.12
Affinity_Propagation,11.88,34.64,15,185.12,2.36
GMM,10.2,35.84,15,186.8,1.16
G_Means,9.32,36.0,15,187.68,1.0
K-Means,10.76,33.28,20,186.24,3.72
Fuzzy_C_Means,10.2,34.4,20,186.8,2.6
DBSCAN_Center,21.8,32.88,20,175.2,4.12
Affinity_Propagation,11.48,33.56,20,185.52,3.44
GMM,11.88,35.64,20,185.12,1.36
G_Means,8.52,35.0,20,188.48,2.0
K-Means,11.0,29.6,25,186.0,7.4
Fuzzy_C_Means,8.72,34.36,25,188.28,2.64
DBSCAN_Center,16.12,30.12,25,180.88,6.88
Affinity_Propagation,10.68,30.04,25,186.32,6.96
GMM,9.68,35.44,25,187.32,1.56
G_Means,8.08,32.76,25,188.92,4.24
K-Means,10.2,32.4,35,186.8,4.6
Fuzzy_C_Means,9.36,33.04,35,187.64,3.96
DBSCAN_Center,26.28,27.92,35,170.72,9.08
Affinity_Propagation,10.44,31.0,35,186.56,6.0
GMM,9.72,34.8,35,187.28,2.2
G_Means,6.32,34.4,35,190.68,2.6
K-Means,9.04,32.96,50,187.96,4.04
Fuzzy_C_Means,8.8,32.04,50,188.2,4.96
DBSCAN_Center,148.04,2.96,50,48.96,34.04
Affinity_Propagation,10.4,31.68,50,186.6,5.32
GMM,9.08,31.36,50,187.92,5.64
G_Means,7.44,33.56,50,189.56,3.44
K-Means,19.0,4.0,0,178.0,33.0
Fuzzy_C_Means,16.0,6.0,0,181.0,31.0
DBSCAN_Center,3.0,15.0,0,194.0,22.0
Affinity_Propagation,17.0,6.0,0,180.0,31.0
GMM,7.0,36.0,0,190.0,1.0
G_Means,9.075,8.1,0,187.925,28.9